di_code,st_code,state23,dist23,A00_p10,A00_p50,A00_p90,A00_sum,A00_mean,A00_min,A00_max,A00_count
154,09,UTTAR PRADESH,AMROHA,-0.05173394848134419,-0.024605920799682275,0.02220684352172007,-61324.57727115425,-0.019605086061972834,-0.13016532103037293,0.2364628988850442,3135410
122,09,UTTAR PRADESH,AURAIYA,-0.022206843521721028,0.010396001537866465,0.04158400615147133,27211.65902033398,0.01080116270801947,-0.12456747404844293,0.24415224913494812,2525028
123,09,UTTAR PRADESH,AZAMGARH,-0.0026377599295214107,0.029773164167634036,0.08882737408689396,190437.0486201353,0.03638479320006412,-0.10340638216070744,0.24415224913494812,5243512
133,09,UTTAR PRADESH,BUDAUN,-0.048227604767388306,-0.015747789311812088,0.017777777777779478,-83062.00845497473,-0.015440634173835207,-0.17279507881584008,0.22145328719723184,5388312
124,09,UTTAR PRADESH,BAGHPAT,-0.04158400615146912,-0.012056901191848964,0.035432525951558005,-8627.53027055001,-0.005113712769387451,-0.13016532103037293,0.2519646289888504,1691561
125,09,UTTAR PRADESH,BAHRAICH,-0.05173394848134497,-0.01574778931180925,0.029773164167630203,-76382.26182166347,-0.012255059366450142,-0.16633602460592078,0.2288965782391388,6244557
126,09,UTTAR PRADESH,BALLIA,-0.012056901191848853,0.027128027681659388,0.0797231833910115,120843.1467879857,0.032582088894234654,-0.12456747404844293,0.2519646289888504,3717530
127,09,UTTAR PRADESH,BALRAMPUR,-0.051733948481344556,-0.013840830449826869,0.05173394848134825,-28345.96470976801,-0.006743309374376952,-0.15378700499807765,0.22145328719723184,4212204
128,09,UTTAR PRADESH,BANDA,-0.0246059207996893,0.013840830449826473,0.04822760476738801,73176.18860284866,0.013296501796199655,-0.13588619761630144,0.2069357939254133,5516307
129,09,UTTAR PRADESH,BARABANKI,-0.0415840061514689,-0.01039600153786583,0.024605920799694033,-41566.159078127224,-0.008639119112857117,-0.16000000000000003,0.22145328719723184,4821092
130,09,UTTAR PRADESH,BAREILLY,-0.041584006151467345,-0.010396001537865972,0.029773164167629932,-38362.34554494641,-0.0073393751318260305,-0.15378700499807765,0.2519646289888504,5236856
131,09,UTTAR PRADESH,BASTI,-0.02712802768166544,0.004489433443812201,0.04158400615147616,21434.675272699882,0.006154466601113365,-0.14173010380622836,0.21413302575932336,3489747
179,09,UTTAR PRADESH,BHADOHI,-0.01384083044982627,0.024605920799688256,0.10340638216071721,43443.9079395909,0.03466948418751942,-0.13588619761630144,0.2364628988850442,1258326
132,09,UTTAR PRADESH,BIJNOR,-0.0517339484813441,-0.024605920799685543,0.02220684352172092,-108496.87383694765,-0.018421758944724403,-0.16000000000000003,0.2288965782391388,5897437
134,09,UTTAR PRADESH,BULANDSHAHR,-0.04484429065745592,-0.01777777777777694,0.022206843521720563,-61196.800374494545,-0.013728063628388914,-0.13588619761630144,0.2519646289888504,4465675
135,09,UTTAR PRADESH,CHANDAULI,-0.0384467512495093,0.00683143273967247,0.06698961937716737,36899.66931706557,0.011742692446023576,-0.16000000000000003,0.24415224913494812,3149762
136,09,UTTAR PRADESH,CHITRAKOOT,-0.04158400615147228,0.006829899979651627,0.04158400615146423,13591.358895674195,0.003452372482402597,-0.16633602460592078,0.22145328719723184,3947058
137,09,UTTAR PRADESH,DEORIA,9.255467275460658E-4,0.03254133025758098,0.10340638216071538,136071.51595598643,0.04306441648459346,-0.10340638216070744,0.2599000384467512,3167421
140,09,UTTAR PRADESH,AYODHYA,-0.04484429065745065,-0.008858131487888965,0.03844675124952168,-13999.514124027024,-0.004171501357153213,-0.14173010380622836,0.2519646289888504,3363207
