st_code,di_code,districts,state,mean_monthly_avg_rd_MD,mean_monthly_avg_rd_MN,prep_year,precip_sum_mm,precip_mean_mm,mean_tmax
6,62,gurugram,haryana,12.62881575,12.72369368,2024,71.86686707,35.93343353,30.68346659
23,407,gwalior,madhya pradesh,1.849738827,1.839048711,2024,467.2606812,58.40758514,31.09032985
18,289,hailakandi,assam,0.57645869,0.55014271,2024,211.3890533,105.6945267,29.12844086
2,17,hamirpur,himachal pradesh,0.843033678,0.875116391,2024,107.2720413,53.63602066,24.6526947
9,149,hamirpur,uttar pradesh,0.907021473,0.904603685,2024,335.6888123,55.94813538,31.73964844
8,101,hanumangarh,rajasthan,0.830813557,0.826077583,2024,218.8205566,14.58803711,32.03918457
19,313,haora,west bengal,4.444843097,4.232369307,2024,132.9836426,66.49182129,30.90701803
9,661,hapur,uttar pradesh,3.869097273,3.810191165,2024,37.44721603,37.44721603,29.78697859
23,408,harda,madhya pradesh,0.826926448,0.777300098,2024,302.4987488,60.49974976,30.83807928
9,150,hardoi,uttar pradesh,1.178196623,1.160142305,2024,381.3977966,42.37753296,30.43454933
5,50,haridwar,uttarakhand,3.027258515,2.988049468,2024,125.2194672,41.73982239,28.20795525
29,539,hassan,karnataka,1.396362764,1.318817226,2024,757.6138916,75.76138916,28.07472839
9,163,hathras,uttar pradesh,1.667917095,1.63056048,2024,41.74662399,41.74662399,30.65691461
29,540,haveri,karnataka,1.188667013,1.125457488,2024,298.0619812,59.61239624,29.71915436
20,332,hazaribagh,jharkhand,1.451786204,1.473929248,2024,339.6983643,56.61639404,29.47462845
27,477,hingoli,maharashtra,0.910257548,0.802202272,2024,363.3213806,60.55356344,31.6481547
6,63,hisar,haryana,1.92128323,1.903005851,2024,88.78004456,22.19501114,30.96601046
18,709,hojai,assam,0.915490576,0.89821925,2024,80.80508423,80.80508423,28.99412155
23,409,hoshangabad,madhya pradesh,0.837569648,0.838232798,2024,496.8039856,55.20044284,30.44522255
3,33,hoshiarpur,punjab,1.446143231,1.441480532,2024,255.7270508,42.62117513,28.9764639
19,312,hugli,west bengal,2.508481176,2.505821614,2024,292.5281677,73.13204193,30.80045646
36,507,hyderabad,telangana,44.27060209,41.3669981,2024,57.04415894,57.04415894,30.64912605
32,556,idukki,kerala,0.549484796,0.485873437,2024,693.7237549,115.6206258,27.87730662
14,255,imphal east,manipur,2.129470736,2.003020049,2024,64.41030121,64.41030121,24.5480245
14,256,imphal west,manipur,2.121772633,2.057922403,2024,63.33325958,63.33325958,25.36934408
23,410,indore,madhya pradesh,4.347917098,4.223372104,2024,436.2890015,62.32700021,30.59132737
23,411,jabalpur,madhya pradesh,1.861465292,1.875136099,2024,441.046936,63.00670515,30.54248725
21,355,jagatsinghpur,odisha,2.647706926,2.462220679,2024,125.6365814,62.81829071,30.70047569
36,681,jagtial,telangana,1.287875293,1.211082004,2024,192.5500793,48.13751984,32.27209473
10,199,jahanabad,bihar,2.26484971,2.134728137,2024,48.58327484,48.58327484,31.02685547
8,102,jaipur,rajasthan,2.949985478,2.894021588,2024,513.6990967,36.69279262,30.73754883
8,103,jaisalmer,rajasthan,0.516490746,0.514297209,2024,542.9259644,9.87138117,34.61934558
21,356,jajapur,odisha,2.394379868,2.448215657,2024,325.3865356,65.07730713,31.2803317
3,34,jalandhar,punjab,3.252545916,3.164245553,2024,64.49984741,32.24992371,29.71549733
9,151,jalaun,uttar pradesh,1.06018366,1.057812689,2024,301.6520996,50.27534993,31.47033691
27,478,jalgaon,maharashtra,1.025804693,0.929130477,2024,877.1646118,58.47764079,31.43626022
27,479,jalna,maharashtra,1.054694995,0.895384824,2024,546.0464478,60.67182753,31.28535716
8,104,jalor,rajasthan,0.699333314,0.690930197,2024,247.718811,15.48242569,33.29279617
19,314,jalpaiguri,west bengal,1.359417315,1.287430067,2024,559.055481,139.7638702,27.84279286
1,5,jammu,jammu & kashmir,3.538927961,3.457636609,2024,251.3592072,50.27184143,27.79994202
24,447,jamnagar,gujarat,2.409950814,2.397794412,2024,404.8127136,44.9791904,31.45020967
20,333,jamtara,jharkhand,0.986925035,0.974630928,2024,175.940506,58.64683533,30.50437317
10,198,jamui,bihar,1.019421455,1.018774211,2024,209.6459961,52.41149902,29.99831449
36,689,jangaon,telangana,1.070356336,0.990352792,2024,218.6106262,54.65265656,31.58083767
22,379,janjgir - champa,chhattisgarh,1.449630452,1.421291187,2024,640.5237427,80.06546783,31.71160278
22,380,jashpur,chhattisgarh,0.693171048,0.692070164,2024,369.1402893,73.82805786,29.27946303
9,152,jaunpur,uttar pradesh,2.210868718,2.079328506,2024,172.0826874,43.02067184,31.10132708
36,687,jayashankar bhupalapally,telangana,0.883299165,0.850174599,2024,239.3442383,59.83605957,32.93126609
23,412,jhabua,madhya pradesh,0.925908242,0.919048202,2024,332.9099731,66.58199463,30.60590617
6,64,jhajjar,haryana,2.846566556,2.861958807,2024,99.2424469,33.08081563,30.66850662
8,105,jhalawar,rajasthan,0.979889188,0.97875957,2024,501.4125977,55.71251085,31.19537644
9,153,jhansi,uttar pradesh,1.517014235,1.461114253,2024,408.0405273,51.00506592,31.41663513
19,703,jhargram,west bengal,0.773075222,0.757232755,2024,150.0880585,75.04402924,31.13642296
21,357,jharsuguda,odisha,2.234023799,2.152917663,2024,165.1182098,82.55910492,31.39857178
