system:index,GEOID,GFD_sum,GeoName,Shape_Area,Shape_Leng,di_code,dist23,st_code,st_di23,state23,.geo
000000000000000001e0,x10196,16290.117647058816,"BIHAR, GAYA",4.77763530079E9,620896.445152,196,GAYA,10,"BIHAR, GAYA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e2,x10197,61112.57254901963,"BIHAR, GOPALGANJ",1.96151711242E9,347790.472493,197,GOPALGANJ,10,"BIHAR, GOPALGANJ",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001eb,x10199,7077.968627450981,"BIHAR, JAHANABAD",9.01901119093E8,224922.658499,199,JAHANABAD,10,"BIHAR, JAHANABAD",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f0,x10198,7353.121568627453,"BIHAR, JAMUI",2.98227147905E9,405324.44672,198,JAMUI,10,"BIHAR, JAMUI",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f7,x10201,302260.16078431375,"BIHAR, KATIHAR",2.92881093866E9,478940.316666,201,KATIHAR,10,"BIHAR, KATIHAR",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f8,x10202,302936.9294117648,"BIHAR, KHAGARIA",1.43597267236E9,296638.070544,202,KHAGARIA,10,"BIHAR, KHAGARIA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fd,x10203,1907.9176470588234,"BIHAR, KISHANGANJ",1.85776105902E9,397841.355582,203,KISHANGANJ,10,"BIHAR, KISHANGANJ",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000204,x10204,79494.09019607847,"BIHAR, LAKHISARAI",1.17413750156E9,227780.124272,204,LAKHISARAI,10,"BIHAR, LAKHISARAI",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000209,x10205,109353.23529411775,"BIHAR, MADHEPURA",1.73973036165E9,348104.047254,205,MADHEPURA,10,"BIHAR, MADHEPURA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020a,x10206,107586.52156862748,"BIHAR, MADHUBANI",3.37229559454E9,479370.374181,206,MADHUBANI,10,"BIHAR, MADHUBANI",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000216,x10207,150783.95686274517,"BIHAR, MUNGER",1.35771339056E9,268751.408351,207,MUNGER,10,"BIHAR, MUNGER",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000218,x10208,240850.11764705888,"BIHAR, MUZAFFARPUR",3.06065783691E9,427403.514512,208,MUZAFFARPUR,10,"BIHAR, MUZAFFARPUR",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000021b,x10209,154821.56078431362,"BIHAR, NALANDA",2.27818802164E9,407293.6663,209,NALANDA,10,"BIHAR, NALANDA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000220,x10210,12679.239215686259,"BIHAR, NAWADA",2.39613834045E9,381420.360691,210,NAWADA,10,"BIHAR, NAWADA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022b,x10211,100608.64705882352,"BIHAR, PASHCHIMI CHAMPARAN",5.04294813683E9,489853.432319,211,PASHCHIMI CHAMPARAN,10,"BIHAR, PASHCHIMI CHAMPARAN",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000022f,x10212,356393.18431372504,"BIHAR, PATNA",3.07391563324E9,567476.304231,212,PATNA,10,"BIHAR, PATNA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000232,x10213,171881.71372548997,"BIHAR, PURBI CHAMPARAN",3.82705223114E9,479736.562606,213,PURBI CHAMPARAN,10,"BIHAR, PURBI CHAMPARAN",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000233,x10214,46375.17647058822,"BIHAR, PURNIA",3.10804553837E9,463494.154554,214,PURNIA,10,"BIHAR, PURNIA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023a,x10215,59842.84313725491,"BIHAR, ROHTAS",3.69948457093E9,408552.312694,215,ROHTAS,10,"BIHAR, ROHTAS",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023c,x10216,127806.6196078431,"BIHAR, SAHARSA",1.60564405247E9,307404.102257,216,SAHARSA,10,"BIHAR, SAHARSA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000023d,x10217,257429.04313725512,"BIHAR, SAMASTIPUR",2.5732751108E9,463099.315303,217,SAMASTIPUR,10,"BIHAR, SAMASTIPUR",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000240,x10218,197613.23137254943,"BIHAR, SARAN",2.54212319952E9,322369.317165,218,SARAN,10,"BIHAR, SARAN",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000244,x10219,37767.20784313727,"BIHAR, SHEIKHPURA",6.52669229119E8,225076.137922,219,SHEIKHPURA,10,"BIHAR, SHEIKHPURA",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000245,x10220,10488.399999999989,"BIHAR, SHEOHAR",4.28234734133E8,172353.880338,220,SHEOHAR,10,"BIHAR, SHEOHAR",BIHAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
