"state23","st_code","dist23","di_code","st_di23","GeoName","GEOID"
"ANDAMAN & NICOBAR","35","NORTH & MIDDLE ANDAMAN","632","ANDAMAN & NICOBAR, NORTH & MIDDLE ANDAMAN","ANDAMAN & NICOBAR, NORTH & MIDDLE ANDAMAN","x35632"
"DELHI","07","NORTH EAST","081","DELHI, NORTH EAST","DELHI, NORTH EAST","x07081"
"GOA","30","NORTH GOA","551","GOA, NORTH GOA","GOA, NORTH GOA","x30551"
"TRIPURA","16","NORTH TRIPURA","270","TRIPURA, NORTH TRIPURA","TRIPURA, NORTH TRIPURA","x16270"
"DELHI","07","NORTH WEST","082","DELHI, NORTH WEST","DELHI, NORTH WEST","x07082"
"ODISHA","21","NUAPARHA","368","ODISHA, NUAPARHA","ODISHA, NUAPARHA","x21368"
"JHARKHAND","20","PAKUR","337","JHARKHAND, PAKUR","JHARKHAND, PAKUR","x20337"
"KERALA","32","PALAKKAD","563","KERALA, PALAKKAD","KERALA, PALAKKAD","x32563"
"JHARKHAND","20","PALAMU","338","JHARKHAND, PALAMU","JHARKHAND, PALAMU","x20338"
"RAJASTHAN","08","PALI","111","RAJASTHAN, PALI","RAJASTHAN, PALI","x08111"
"GUJARAT","24","PANCH MAHALS","454","GUJARAT, PANCH MAHALS","GUJARAT, PANCH MAHALS","x24454"
"MADHYA PRADESH","23","PANNA","420","MADHYA PRADESH, PANNA","MADHYA PRADESH, PANNA","x23420"
"JHARKHAND","20","WEST SINGHBHUM","343","JHARKHAND, WEST SINGHBHUM","JHARKHAND, WEST SINGHBHUM","x20343"
"KERALA","32","PATTANAMTHITTA","564","KERALA, PATTANAMTHITTA","KERALA, PATTANAMTHITTA","x32564"
"UTTARAKHAND","05","PAURI GARHWAL","052","UTTARAKHAND, PAURI GARHWAL","UTTARAKHAND, PAURI GARHWAL","x05052"
"UTTAR PRADESH","09","PILIBHIT","173","UTTAR PRADESH, PILIBHIT","UTTAR PRADESH, PILIBHIT","x09173"
"ANDHRA PRADESH","28","PRAKASAM","517","ANDHRA PRADESH, PRAKASAM","ANDHRA PRADESH, PRAKASAM","x28517"
"RAJASTHAN","08","PRATAPGARH","629","RAJASTHAN, PRATAPGARH","RAJASTHAN, PRATAPGARH","x08629"
"UTTAR PRADESH","09","PRATAPGARH","174","UTTAR PRADESH, PRATAPGARH","UTTAR PRADESH, PRATAPGARH","x09174"
"PUDUCHERRY","34","PUDUCHERRY","600","PUDUCHERRY, PUDUCHERRY","PUDUCHERRY, PUDUCHERRY","x34600"
"JHARKHAND","20","EAST SINGHBHUM","327","JHARKHAND, EAST SINGHBHUM","JHARKHAND, EAST SINGHBHUM","x20327"
"ODISHA","21","PURI","369","ODISHA, PURI","ODISHA, PURI","x21369"
"UTTAR PRADESH","09","RAIBEARELI","175","UTTAR PRADESH, RAIBEARELI","UTTAR PRADESH, RAIBEARELI","x09175"
"KARNATAKA","29","RAICHUR","546","KARNATAKA, RAICHUR","KARNATAKA, RAICHUR","x29546"
"CHHATTISGARH","22","RAIGARH","386","CHHATTISGARH, RAIGARH","CHHATTISGARH, RAIGARH","x22386"
"CHHATTISGARH","22","RAIPUR","387","CHHATTISGARH, RAIPUR","CHHATTISGARH, RAIPUR","x22387"
"MADHYA PRADESH","23","RAISEN","421","MADHYA PRADESH, RAISEN","MADHYA PRADESH, RAISEN","x23421"
"CHHATTISGARH","22","RAJ NANDGAON","388","CHHATTISGARH, RAJ NANDGAON","CHHATTISGARH, RAJ NANDGAON","x22388"
"MADHYA PRADESH","23","RAJGARH","422","MADHYA PRADESH, RAJGARH","MADHYA PRADESH, RAJGARH","x23422"
"RAJASTHAN","08","RAJ SAMAND","112","RAJASTHAN, RAJ SAMAND","RAJASTHAN, RAJ SAMAND","x08112"
"JHARKHAND","20","RAMGARH","607","JHARKHAND, RAMGARH","JHARKHAND, RAMGARH","x20607"
"KARNATAKA","29","RAMANAGARAM","631","KARNATAKA, RAMANAGARAM","KARNATAKA, RAMANAGARAM","x29631"
"UTTAR PRADESH","09","RAMPUR","176","UTTAR PRADESH, RAMPUR","UTTAR PRADESH, RAMPUR","x09176"
"JHARKHAND","20","RANCHI","339","JHARKHAND, RANCHI","JHARKHAND, RANCHI","x20339"
"MADHYA PRADESH","23","RATLAM","423","MADHYA PRADESH, RATLAM","MADHYA PRADESH, RATLAM","x23423"
"ODISHA","21","RAYAGARHA","370","ODISHA, RAYAGARHA","ODISHA, RAYAGARHA","x21370"
"MADHYA PRADESH","23","REWA","424","MADHYA PRADESH, REWA","MADHYA PRADESH, REWA","x23424"
"UTTARAKHAND","05","RUDRAPRAYAG","054","UTTARAKHAND, RUDRAPRAYAG","UTTARAKHAND, RUDRAPRAYAG","x05054"
"GUJARAT","24","SABAR KANTHA","458","GUJARAT, SABAR KANTHA","GUJARAT, SABAR KANTHA","x24458"
"MADHYA PRADESH","23","SAGAR","425","MADHYA PRADESH, SAGAR","MADHYA PRADESH, SAGAR","x23425"
"UTTAR PRADESH","09","SAHARANPUR","177","UTTAR PRADESH, SAHARANPUR","UTTAR PRADESH, SAHARANPUR","x09177"
"JHARKHAND","20","SAHIBGANJ","340","JHARKHAND, SAHIBGANJ","JHARKHAND, SAHIBGANJ","x20340"
"MIZORAM","15","SAIHA","267","MIZORAM, SAIHA","MIZORAM, SAIHA","x15267"
"ODISHA","21","SAMBALPUR","371","ODISHA, SAMBALPUR","ODISHA, SAMBALPUR","x21371"
"UTTAR PRADESH","09","SAMBHAL","659","UTTAR PRADESH, SAMBHAL","UTTAR PRADESH, SAMBHAL","x09659"
"UTTAR PRADESH","09","SANTKABIRNAGAR","178","UTTAR PRADESH, SANTKABIRNAGAR","UTTAR PRADESH, SANTKABIRNAGAR","x09178"
"JHARKHAND","20","SARAIKELA-KHARSAWAN","341","JHARKHAND, SARAIKELA-KHARSAWAN","JHARKHAND, SARAIKELA-KHARSAWAN","x20341"
"MADHYA PRADESH","23","SATNA","426","MADHYA PRADESH, SATNA","MADHYA PRADESH, SATNA","x23426"
"RAJASTHAN","08","SAWAI MADHOPUR","113","RAJASTHAN, SAWAI MADHOPUR","RAJASTHAN, SAWAI MADHOPUR","x08113"
"MADHYA PRADESH","23","SEHORE","427","MADHYA PRADESH, SEHORE","MADHYA PRADESH, SEHORE","x23427"
"MADHYA PRADESH","23","SEONI","428","MADHYA PRADESH, SEONI","MADHYA PRADESH, SEONI","x23428"
"TRIPURA","16","SEPAHIJALA","653","TRIPURA, SEPAHIJALA","TRIPURA, SEPAHIJALA","x16653"
"DELHI","07","SHAHADRA","671","DELHI, SHAHADRA","DELHI, SHAHADRA","x07671"
"MADHYA PRADESH","23","SHAHDOL","429","MADHYA PRADESH, SHAHDOL","MADHYA PRADESH, SHAHDOL","x23429"
"UTTAR PRADESH","09","SHAHJAHANPUR","180","UTTAR PRADESH, SHAHJAHANPUR","UTTAR PRADESH, SHAHJAHANPUR","x09180"
"MADHYA PRADESH","23","SHAJAPUR","430","MADHYA PRADESH, SHAJAPUR","MADHYA PRADESH, SHAJAPUR","x23430"
"UTTAR PRADESH","09","SHAMLI","660","UTTAR PRADESH, SHAMLI","UTTAR PRADESH, SHAMLI","x09660"
"MADHYA PRADESH","23","SHEOPUR","431","MADHYA PRADESH, SHEOPUR","MADHYA PRADESH, SHEOPUR","x23431"
"HIMACHAL PRADESH","02","SHIMLA","023","HIMACHAL PRADESH, SHIMLA","HIMACHAL PRADESH, SHIMLA","x02023"
"KARNATAKA","29","SHIVAMOGGA","547","KARNATAKA, SHIVAMOGGA","KARNATAKA, SHIVAMOGGA","x29547"
"MADHYA PRADESH","23","SHIVPURI","432","MADHYA PRADESH, SHIVPURI","MADHYA PRADESH, SHIVPURI","x23432"
"UTTAR PRADESH","09","SHRAWASTI","181","UTTAR PRADESH, SHRAWASTI","UTTAR PRADESH, SHRAWASTI","x09181"
"UTTAR PRADESH","09","SIDDHARTHNAGAR","182","UTTAR PRADESH, SIDDHARTHNAGAR","UTTAR PRADESH, SIDDHARTHNAGAR","x09182"
"MADHYA PRADESH","23","SIDHI","433","MADHYA PRADESH, SIDHI","MADHYA PRADESH, SIDHI","x23433"
"RAJASTHAN","08","SIKAR","114","RAJASTHAN, SIKAR","RAJASTHAN, SIKAR","x08114"
"JHARKHAND","20","SIMDEGA","342","JHARKHAND, SIMDEGA","JHARKHAND, SIMDEGA","x20342"
"MADHYA PRADESH","23","SINGRAULI","638","MADHYA PRADESH, SINGRAULI","MADHYA PRADESH, SINGRAULI","x23638"
"HIMACHAL PRADESH","02","SIRMAUR","024","HIMACHAL PRADESH, SIRMAUR","HIMACHAL PRADESH, SIRMAUR","x02024"
"RAJASTHAN","08","SIROHI","115","RAJASTHAN, SIROHI","RAJASTHAN, SIROHI","x08115"
