state_district_census11_code,state,district,perceived,imd_flood_count,assessed,gap,FlowAcc_sum,mean_monthly_avg_rd_MD,precip_sum_mm,mean_tmax,highersecondaryabove_district,vulnerability_district,Tone_Avg,flood_news_count,fear_share,ntl_mean,population
9181,Uttar Pradesh,Shrawasti,73.293323166107,30.0,47.61904761904762,-25.67427554705938,5922238.043137254,1.057515987,181.5674438,29.58220863,-1.4878792569090462,-0.8161955988788456,,,,1.0505063286783172,603764.0
9182,Uttar Pradesh,Balrampur,73.3530950929926,53.0,84.12698412698413,10.773889033991523,8778086.219607852,1.084227862,249.9651794,29.89908776,-1.3557497605902304,-0.3598777759460547,-4.29781337575,4.0,0.3309178745,1.0713984773104157,1131773.0
9183,Uttar Pradesh,Gonda,67.4735501305384,35.0,55.55555555555556,-11.917994574982842,13457998.301960783,1.462495604,419.6631775,30.49901254,-0.773969806296977,-0.8161955988788456,,,,1.4168539533233682,1880928.0
9184,Uttar Pradesh,Siddharthnagar,72.2813775044905,26.0,41.26984126984127,-31.01153623464922,13598298.66274508,1.260107838,196.4331665,30.38062541,-1.105344280359795,-0.8161955988788456,,,,1.386936273576331,1335602.0
9185,Uttar Pradesh,Basti,65.7409981872727,36.0,57.142857142857146,-8.598141044415549,53603719.85098046,1.516505119,183.4347534,30.72019542,-0.1713483238796085,-0.8161955988788456,,,,1.5184971900598516,1364083.0
9186,Uttar Pradesh,Sant Kabir Nagar,71.9100912725495,31.0,49.20634920634921,-22.703742066200284,25081640.525490195,1.518353109,164.7982788,30.78483073,,,,,,1.5402428588525203,933906.0
9187,Uttar Pradesh,Mahrajganj,59.9115260787125,30.0,47.61904761904762,-12.292478459664878,5419815.56470588,1.366739182,333.0142212,30.2045166,,,-4.514363885,1.0,0.196721311,1.4061676381787334,1480811.0
9188,Uttar Pradesh,Gorakhpur,65.241456862968,51.0,80.95238095238095,15.710924089412956,68015042.19999999,3.373043477,267.8847351,30.82291521,0.3930989947563554,0.7034258500704813,-2.33661955825,4.0,0.188875939,3.357735674711488,2579048.0
9189,Uttar Pradesh,Kushinagar,71.1658224398089,40.0,63.492063492063494,-7.673758947745412,14538230.623529408,1.927607996,191.7733002,30.69967869,-0.657650808176439,1.3205516536261692,,,,1.9028962849962725,1949385.0
9190,Uttar Pradesh,Deoria,66.1012617800142,32.0,50.79365079365079,-15.307610986363407,48245599.80000002,1.905863004,111.5013123,30.91856523,0.3673681197864417,-0.2721481944990574,,,,1.8693570566963813,1754201.0
